time,magnitude
59857.3493782,18.099342830602247
59866.1896572,18.013715399258725
59866.3260852,18.014887289198477
59866.3539772,18.012716651739687
59866.3557842,18.010956792462434
59870.2187202,18.002123661064225
59870.2435682,18.00903354681751
59870.2449302,18.008215833390334
59870.2628022,18.010272873192132
59898.0952462,18.143497626614597
59898.1240402,18.149116344711295
59916.1976862,17.994861486596573
59935.1093492,18.00635176987087
59944.1694722,18.105332518771387
59975.1392852,18.367640004439366
59975.1419852,18.36810005969924
59975.1650512,18.365701381897924
60162.3562942,18.06887933003132
60179.3750632,17.998762080191565
60180.3052292,18.011280923850585
60180.3260492,18.01374053456507
60201.2399192,18.128467339166583
60201.2551122,18.13400228900275
60201.2555612,18.134615122980524
60201.2573572,18.134822815581504
60241.2314012,17.912878132012725
60241.2318502,17.912441932126267
60269.0634442,17.92816800692203
60269.0752312,17.929369084501296
60279.1911372,17.791005022403187
60309.2377392,17.675827700700804
60309.2537972,17.68170891101345
60338.1400082,17.6360416504038
60338.1517512,17.637236251726183
60549.2712432,17.560947428936316
60549.2857612,17.555032584282262
60587.1994622,17.81700571834712
60587.2191012,17.816896662987364
60587.2200032,17.81542210095745
60587.2493612,17.81556375132024
60587.2640732,17.81367602057856
60591.1622492,17.86201594172099
60591.1626972,17.8622532563441
60591.1631442,17.86206689216989
60596.2378522,17.84125749032347
60596.2383012,17.8409879074993
60596.2545392,17.84031895822501
60596.2549882,17.840284935457102
60632.1218452,17.887329059981795
60632.1368692,17.886237190963552
60632.2563952,17.868454106579087
60632.2699062,17.866236627903195
60661.1710142,17.9847886837323
60661.1759892,17.984583032878007
60661.1796702,17.98374347660398
60691.1474602,18.069223266101147
60711.0976132,18.09198008436323
60871.4014322,17.907089113375328
60919.3899112,17.924231037082915
60937.2994892,17.775148318957193
60937.3037742,17.774880905011997
60937.3042232,17.77408062084299
60944.2190942,17.70328438152494
60944.2341352,17.699284441189693
60944.2426562,17.699578179856164
60946.3272282,17.70673587248626
60946.3470132,17.698225969598006
60949.3372072,17.71476999615697
60958.3489742,17.703539008387757
60964.1469162,17.721252870279542
60964.1692132,17.719831627262312
60973.2019972,17.794322286250754
61003.0609232,17.754958446549587
61003.0917542,17.757002264253813
61017.1585322,17.941855789158662
61017.1702922,17.93553942773571
61017.2344412,17.929848529122584
61017.2681612,17.928514504903642
61017.2940382,17.92350925057907
61045.1192952,17.882458544662068
61076.1244532,18.040902457950466
61076.1348622,18.038668610774266
61076.1525302,18.032044783023736
61098.0866502,18.026725305213688
61286.2579582,18.277066263591603
61286.2584062,18.277534007488736
61286.2759752,18.27530948123051
61286.3240552,18.2872543174854
61286.3390312,18.288137883147296
61332.3582122,18.18663788365712
61334.2316092,18.180295118687383
61334.2320582,18.179944002975702
61334.2469812,18.178630929583395
61334.2497862,18.178048225432857
61360.1910262,18.224738380562098
61364.1959242,18.15607649141493
61364.1963772,18.155613843753496
61364.2191292,18.15078028245404
61364.2197222,18.150438001814056
61371.2830422,18.269664698698943
61394.1615222,18.159429235112242
